walk_id,title,area,wainwrights,county,author,grade,distance_miles,distance_km,ascent_feet,ascent_metres,estimated_time,start_lat,start_lng,start_postcode,description,gpx_available
2715,Skelwith Bridge & Loughrigg from Elterwater,Central Fells,Loughrigg Fell,Cumbria,Peter Lane,easy/mod,5.5,8.9,1600,485,4 hours 20 minutes,54.433257,-3.0374614,LA22 9HW,"This Lake District circular walk on one of the lower fells is ideal for a half day excursion or one of those times when the high fells are blanketed by mist. It boasts spectacular views of Grasmere and also joins the popular tourist route alongside Elterwater with its much photographed views to the Langdales, plus the dramatic (especially when in spate) Skelwith Force.

There are two options for a start - the easiest being the National Trust car park at Elterwater NY328047. The alternative is a small parking area on a minor road near Fell Foot Farm, Little Loughrigg NY345039. As the former is easier to find, the route is described from Elterwater.

Follow the masses along the easy path from the car park along the picturesque Great Langdale Beck to Elterwater itself where there are superb retrospective views across to the Langdales (try and catch their reflections in the lake!). Continue along the (now) River Brathay as it flows out of the lake to Skelwith Force - an awesome sight in spate. Viewing platforms provide access to this magnificent natural spectacle. Continue on to the hamlet of Skelwith Bridge with its slate picnic tables and eponymous bridge.

At the A593 main road turn left past the hotel (excellent food) and at the junction just ahead take the steeply rising minor road prohibited to all vehicles except for access. Climb this steep hill past Neaum Crag holiday village (recommended!). At the top of this hill on the right is the alternative start point for this walk. Turn right briefly at the junction and then take the bridlepath past Fell Foot farm heading North-east.

A minor deviation just past the farm along the path to Little Loughrigg Tarn is well worthwhile for keen photographers in order to snap those perennial Langdales once again set against this lovely little lake. Return to the bridlepath and follow the wall past Ivy Crag until an indistinct path rises to the left near a small Beck NY357044. Ascend this path, meeting another larger path, rising to the crest of Loughrigg and a summit cairn. The route is now cairned fairly regularly and, although it is not always obvious which is the main route, maintains a pretty constant bearing of 320 degrees. Set your compass to this, and you shouldn't be tempted to take any deviating paths. There are superb views in all directions if you're not stuck in the mist!

After reaching the trig point, descend steeply towards Grasmere presenting itself in all its glory down below. Reaching the start of Loughrigg Terrace at the bottom, bear left and go through a gate past woods to a minor road. Turn right briefly along the road and then in a few metres pick up a footpath on the left running through Redbank Wood. When this path eventually emerges at a junction, take the uphill route to Elterwater. After a gate near the top of the hill, the path veers to the right and descends towards Elterwater village. Cross the roads as you come to them and enter the village, past the Britannia Inn (or not as the case may be!) and return safely to the car park.",True
2582,"Pike o' Stickle, Harrison Stickle & Pavey Ark",Central Fells,"Harrison Stickle, Pavey Ark, Pike O'Stickle",Cumbria,Bill Milne,moderate,6.0,9.8,2600,788,5 hours 40 minutes,54.428331,-3.086664,LA22 9PG,"This Lake District walk in Langdale was undertaken in fresh snow, up to three feet deep in places, which made it all the more spectacular, and is a variation to the usual 'tourist route' which starts with Pavey Ark. In good conditions I would allow a comfortable 5 hours to take in the tremendous views.

Parking across from the Stickle Barn pub at New Dungeon Ghyll Hotel and walk directly up the road opposite, passing through the gate behind the pub and on to the well marked path. Follow this to a stile and with the wall now on your right, ascend towards Thorn Crag. In terms of navigation, this is the trickiest bit of the day.

Pass between Thorn and Gimmer Crags, with the conical Pike o' Stickle as the first target of the day. From here the views across to the more famous Peaks are incredible, but this walk itself is not without it's spectacular scenery.

Coming off the Pike, follow the well trodden path to cross a stream before climbing steadily to the summit of Harrison Stickle. From the cairn, the third summit of Pavey Ark can be seen atop an impressively rugged face, with the Tarn glimmering way below. If you're feeling energetic, continue NNE to Thunacar Knott, otherwise bear NNW along the ridge to Pavey Ark. In the snow this was quite a scramble through the outcrop that forms the summit.

Rather than descending via the North Rake, skirt the rocks towards the gully which conducts Bright Beck to Stickle Tarn. Attaining the Tarn, follow the path which borders it and leads to the dam wall. From here there is a well trodden path passing under Tarn Crag, which follows the Ghyll down to the welcoming warmth and fine ale of the hotel.",True
1565,Rydal Water & Grasmere circular,Central Fells,,Cumbria,Lou Johnson,easy/mod,6.0,9.8,1200,364,4 hours 10 minutes,54.455866,-3.0210657,LA22 9SL,"The Lake District has a wide variety of low level walks. Sadly many walkers reserve these for days when the clouds lie low over the higher fells meaning that they never enjoy them at their best. This walk starts from the regional centre of Grasmere and follows a well walked track to Rydal. From here the route passes the shores of Rydal water before enjoying wide ranging views over Grasmere. As well as the scenic interest the walk passes two of the homes of William Wordsworth, namely Dove Cottage and Rydal Mount. Both of these are passed by the walk and can be visited with an admission fee.

The start is the large pay and display car park (grid ref. NY339072) just off the A591 Ambleside to Keswick Road. Exit the car park and turn left back to the main road. Cross the A591, and take the lane opposite passing Dove Cottage on your left. Walk along the lane until just before it bends right. Here leave the lane and continue ahead on a stony track. At first the track goes uphill but soon levels off to follow a more undulating course across the fellside all the way to Rydal. Reaching Rydal, turn right down past the church to the main road.

Cross the main road and turn left walking towards Ambleside. At the first road junction, turn right and cross the bridge. Once on the other side of the River Rothay turn right again along a tarmac lane. Continue past some cottages after which the lane becomes a rougher track and exits onto open pastures. The path forks (grid ref. NY358060). Bear left here to join the higher path which leads past caves and old quarries. At the next major junction (grid ref. NY347059) continue along the Loughrigg Terrace path which offers a fine view of Grasmere and the superb backdrop of higher fells.

Just before reaching a plantation of trees turn right and descend very steeply to the shore of Grasmere. Turn left and follow the lakeside path as far as you can (grid ref. NY335064). Here turn away from the lake to reach a lane. Turn right along the lane and walk back into Grasmere village.",True
1736,Langdale Pikes and High Raise from New Dungeon Ghyll,Central Fells,"Harrison Stickle, High Raise, Pike O'Stickle",Cumbria,Lou Johnson,mod/hard,6.1,9.9,2400,727,5 hours 30 minutes,54.448099,-3.0871875,LA22 9JX,"The Langdale Pikes are one of the many highlights in Great Langdale. Their easily recognised tops come into view as you enter the valley from Ambleside along the B5343 from Skelwith Bridge and Elterwater. This Lake District walk includes the following Wainwrights - Loft Crag, Pike of Stickle, Harrison Sickle, Thunacar Knott, High Raise and Sergeant Man with the option of including Blea Rigg. The walk initially follows well-trod paths however route-finding can be problematic from Thunacar Knott to High Raise and down to Stickle Tarn. A 1:25000 map is a useful accessory on this section. In mist good compass skills will be required.

The start is the pay and display car park at New Dungeon Ghyll (grid ref. NY296064). Note that this area is very busy with walkers so parking space may be at a premium. Exit the car park using the entrance in front of the toilets. Turn left and take path through a gate and then through a hole in a stone wall. Shortly after bear left following a path to reach a gate. Go through the gate and turn immediately right. Follow ascending path with wall on your right. Continue up to cross a stile and turn left over a steam to follow the uphill path.

Reaching a Y-junction marked by a large cairn (grid ref. NY279071), bear left and walk north-west. After about 150 metres (grid ref. NY277072) go left and make the short diversion to reach the summit of Loft Crag. After enjoying the excellent view, return to the main path and continue to the next junction of paths. Go left and continue to the summit of Pike of Stickle where the final section is an easy scramble.

Descend from Pike of Stickle using the approach path and descend east along the cairned path. At a large cairn bear left along a grassy path to reach a cross path with a cairn. Turn right and walk up to the summit of Harrison Stickle. Retrace your steps back to the junction and continue north to arrive at Thunacar Knott (grid ref. NY279079). The next section requires care in poor visibility. Continue north on less well-defined path to pass a small tarn and follow a broad ridge. The path initially descends but eventually starts to climb leading you to the summit of High Raise with its trig column and wind shelter (grid ref. NY281095).

From the summit, turn south-east to a small tarn and the follow the ill-defined path initially along a line of old fence posts. The path veers away from the old fence line and joins a stony path that leads to the summit of Sergeant Man (grid ref. NY286089). Descend north-east for a short way and then turn right and continue path to reach a junction (grid ref. NY292084). From here you can continue south-east to Blea Rigg if desired. To continue the route head south-south-west on intermittent paths to reach the shore of Stickle Tarn.

Continue along the shore (with tarn to your right) to reach the outflow. Cross Stickle Ghyll and turn left descending alongside the stream. The path crosses the ghyll and descends to a stile. Cross the stile, re-cross the ghyll on a bridge and follow the descending path back to the start.",True
2042,Langdale Pikes with an ascent of Jack's Rake,Central Fells,"Harrison Stickle, Loft Crag, Pavey Ark, Pike O'Stickle,",Cumbria,John Paterson,very hard,6.3,10.2,2500,758,5 hours 40 minutes,54.448099,-3.0871875,LA22 9JX,"The Langdale Pikes are the most photographed and walked of Lakeland's mountains. This is because of their accessibility - towering above Langdale - and they also have a distinctive profile which invites exploration. Our first peak, Pavey Ark, holds the famous Jack's Rake. This is a grade 1 scramble (grade 3 being the highest) which gives walkers with a head for heights the chance to enter the preserve of the rock climber. There are no parts which can be said to be harder than many other bits of rock which you will meet on walks in the district but the whole rake is 250 yards long and rises at an average angle of 30 degrees with a maximum angle of 50 degrees. By the time you reach the top you will have ascended a 400 feet cliff and the ""exposure"" is noticeable at times. If you have a head for heights, are an experienced walker and are confident and competent - make your attempt in dry, still conditions and you should have a day to remember.

Note: There are two easier alternatives to Jack's Rake which are covered in this text and are illustrated in photograph 3 below.

To start this Lake District walk take the A593 Coniston road out of Ambleside and after 1.5 miles fork right onto the B5343 at Skelwith Bridge. Pass Elterwater and Chapel Stile and park in a car park on your left at New Dungeon Ghyll (GR NY295064). Parking is cheaper for less than 4 hours but it will probably take you longer to do the walk.

Cross the road and walk past the New Dungeon Ghyll hotel. Pass between the buildings at the top of the lane, through a gate and cross a small field to a gate in the far right hand corner. A path now leads up the right bank of Mill Gill - confusingly shown as Stickle Gill on many maps. The second peak on our walk, Harrison Stickle is prominent on the skyline. The gill drains Stickle Tarn and about three quarters of the way up the path fords the gill and follows the left bank steeply up to the tarn. Pause here to view the great cliff of Pavey Ark at the far side of the tarn and consider your options for ascent. The three options can be seen on picture 3 above - they are all reached by following the path anticlockwise round the tarn and are described below.

1. NORTH RAKE. A long ""nose"" of rock extends for some way to the right (east) of the cliff. A path round the nose leads to North Rake which starts its climb to the summit at GR288081. This is a boulder strewn path which reaches the top of Pavey Ark without difficulty.

2. EASY GULLY. A wide grass, mud and scree filled gully ascends the cliff to the right of centre and trends slightly right to join North Rake about half way up. A tricky boulder move (easier for long legged walkers) near the top makes this harder than North Rake. Reach the gully by a 100 foot climb on scree from the path round the tarn

3. JACK'S RAKE. This starts by the foot of Easy Gully and its ascent is described and illustrated below.

Jack's Rake is a distinct groove ascending to the left across the cliff. There is usually some wetness in the groove even in dry weather. Remember to test hand and footholds before you put weight on them and look carefully for signs of polished rock which indicate the route and you should have few problems. The first 75 yards (to an ash tree visible from the bottom) are the hardest part of the climb. Awkward chimney and bridging moves may be avoided by moving left and climbing the ribs which form a sort of parapet. This is often easier but much more exposed. After the ash tree the grooves become intermittent and are connected by a series of ledges which pose no difficulties. After the half way point the route makes a short climb up a gully before further ledges lead left to the final blocks and slabs. These are easier than the grooves below but feel more exposed. Fortunately, the rock here is excellent with good friction and good handholds. The route finishes up a slight gully leading up to a small plateau a short way down from the actual summit which lies to the east (right).

The next peak of Harrison Stickle is clearly visible to the south west and is reached by a path which contours the steep slope above Stickle Tarn. (Note: Wainwright ""baggers"" may wish to take a diversion north from Pavey Ark to include Thuncar Knott which will add a mile to the walk) Harrison Stickle gives good views back over Pavey Ark and west to our next objective, Pike o' Stickle, which appears as a rounded ""sugar loaf"" less than a mile away with Bowfell as a background. Leave Harrison Stickle by a slight gully west of the summit which descends north for 50 yards or so before turning west and dropping down to stepping stones (GR279074) crossing a marshy area. Note the position of these stepping stones as you will cross them again on the descent. A good path leads to Pike o' Stickle which is climbed by an anticlockwise traverse path and then a short vertical climb over rock to the small summit. This is one of the best viewpoints in the Lakes with good views over the head of Langdale towards Scafell Pike in the distance. Much closer to the east is our final peak of Loft Crag with the climbing cliff of Gimmer Crag below it. Between Pike o' Stickle and Loft Crag is the top of a huge scree shute dropping into Langdale. This is the site of a stone age axe factory and axes are still found from time to time.

Descend Pike o' Stickle by the path you used in ascent then pass the scree shute before taking a path which forks to the right and leads to the summit of Loft Crag after half a mile. Loft Crag has similar views to the previous summit but with views more towards the foot of Langdale. Now descend to the stepping stones (GR279074) again and once you have re-crossed them turn right to follow a narrow path traversing steep ground between the crags of Harrison Stickle and the upper gorge of Dungeon Ghyll. After a short while the path leaves the crags behind and leads down a wide fellside before skirting to the right of the minor peak of Pike How and descending through bracken to the buildings surrounding the New Dungeon Ghyll hotel.",True
3029,Derwentwater & Walla Crag from Keswick,Central Fells,Walla Crag,Cumbria,Lou Johnson,easy/mod,6.5,10.6,1550,470,4 hours 50 minutes,54.595015,-3.1390793,CA12 5DJ,"Keswick is a popular town and sees many visitors. It is also well served by public transport so this walk might prove useful to those without their own private transport. This Lake District walk starts from the large car park near the landing stages on Derwentwater (Grid ref. NY265228).

Exit the car park and turn left and walk down to Derwentwater. Keeping the lake on your right continue past the landing stages towards Friar's Crag from where the view south into the 'Jaws of Borrowdale' is first seen. The path continues, sometimes leaving the lake shore where it diverts inland as far as Calfclose Bay where the main Borrowdale road is met (Grid ref. NY 270213). Cross over this road taking extreme care into Great Wood towards the car park.

Reaching the car park turn right and walk to the southern pedestrian exit. This path leads towards a bridge over Car Gill (Grid ref. NY 271210). Go over the bridge and continue straight ahead. This path gradually climbs below the crags of Brown Knotts to reach Ashness Bridge, which is often the subject of picture postcards. Having enjoyed the view retrace your steps a short way as far as the wall and take the right hand path.

This path leads uphill with a couple of short sections where you might need hands. The view improves as you get higher with an excellent panorama south, which on a clear day, will include Scafell Pike (England' highest mountain). Eventually the grade eases and ahead you will see the top of Walla Crag, which is located on the other side of the stone wall.

After enjoying the view continue along the path for a short way before crossing the wall into open country once more. The onward route continues north with the wall to your left on a broad easy to follow path. Ahead the views are towards Blencathra. The path descends quite steeply at times to reach a lane at Rakefoot (Grid ref. NY 283221). Go down the lane for a short way keeping a careful watch for a half hidden path on your left (Grid ref. NY 282222) which should be followed down to the bridge over the beck and downhill towards Keswick.

The path continues with the beck to your right through a wood to reach a road (Grid ref. NY 275226). Follow this road for about 500 metres and locate the signed footpath on your left (grid ref. NY 272229). Take this and continue through Castlehead Wood, gaining some height, before reaching the main road. Turn left for a short way. On the opposite side of the road there is signed path. Take this into Cookshot Wood. Just after entering this wood turn right and follow the path to car park where the walk started.

Note - You can omit the section to Ashness Bridge by taking the signed path on the north bank of Car Gill (Grid ref. NY 271210). This path is steep and is stepped for most of the way and leads you almost directly to the top of Walla Crag.",True
3075,Rydal Water & Loughrigg from Ambleside,Central Fells,Loughrigg Fell,Cumbria,Peter Smyly,easy/mod,6.5,10.6,1200,364,4 hours 30 minutes,54.432061,-2.9649759,LA22 9BW,"This Lake District walk explores the Rydal and Ambleside area of Lakeland and I have deliberately written this walk description with an emphasis on features of local historic and geographic interest. The walk mostly offers gentle gradients but there is one fairly steep pull up onto Loughrigg Fell from the south shore of Grasmere (lake). Two of Lakeland's smaller lakes are featured, Rydal Water and Grasmere.

From the centre of Ambleside, you pass the Bridge House over the River Rothay. The Bridge House is now an information centre on behalf of the National Trust. Originally it was built as a folly and the choice of location over the river was to avoid paying land tax. Historically, North Road used to be the main road north out of Ambleside rather than the present day busy Rydal Road where the Bridge House is situated. On the right, a dental practice now occupies the building which was, for many years, the location of the Ambleside Quaker Meeting House. Follow the main Rydal Road out of Ambleside, passing the University of Cumbria on the right, set back among grounds. Previously the University was known as St Martin's College and before that, the Charlotte Mason College, a teacher training college. In 2010 the University moved the teaching courses away from Ambleside to Lancaster, and the Charlotte Mason Building became the home of the outdoor studies lectures in Ambleside. Follow the A591 away from the village centre and, just past the housing estate on the right, a footpath on the right takes you away from the busy A591 main road and along an unsurfaced bridleway across Rydal Park with the Fairfield Horseshoe, and the steep slopes of Nab Scar in particular, prominently appearing to the right. Nab Scar is either the first or the last peak on a circuit of the Fairfield Horseshoe, depending which way round you do it. The track emerges at the hamlet of Rydal, location of Rydal Mount, best-known as the home of the famous poet, William Wordsworth and now a tourist attraction. Follow the old Corpse Road which traverses the lower slopes of Nab Scar and which offers a fine view of Rydal Water below to the left with its wooded islands. The lake is one of the smallest in the Lake District, being three quarters of a mile long and half a mile wide with a maximum depth of 55 feet.Â  The lake is backed by the hillside of Loughrigg Fell and a glimpse of Rydal Cave, a man-made quarry, can be seen, part way up the slopes of Loughrigg.

Emerging at the car park at White Moss, now cross the A591 and a path leads to a narrow wooden footbridge across the river that flows between the lakes of Rydal and Grasmere. Turn right here along by the river, the outflow of Grasmere, which comes into view ahead shortly. The lake of Grasmere is a mile long, half a mile wide and is about 75 feet in depth and it has one large island. The path goes to the left where there is a stony beach in the foreground and you can see the large island ahead with Helm Crag in the background and Silver Howe, another mountain, appearing on the left. There is a basic choice of two ways of completing the walk. A low level option is to follow the path alongside the shore of Rydal Water to the left and then back along the secondary road known as ""under Loughrigg"", then returning to the village through Rothay Park. This walk goes for the higher level route option, by following Loughrigg Terrace, a path along the side of Loughrigg overlooking the lake of Grasmere, a view that sometimes appears in post cards of the Lake District, indeed this is one of the better-known Lakeland views. The poet William Wordsworth lived in Grasmere village for fourteen years, describing it as ""the loveliest spot that man hath ever found"". From Loughrigg Terrace, a path goes uphill to the left, fairly steeply up Loughrigg and this is the part of the walk that involves the most height gain. Once the gradient eases off, the highest point of Loughrigg is soon reached, marked by a beacon. Although of modest height by Lakeland standards, (1,099 ft) bracken-covered Loughrigg offers fines views and features a number of rises and hollows. Loughrigg is criss-crossed by a number of sheep tracks through bracken and the aim now is to follow a path to the south east which joins up with the main track coming up from Miller Brow. Now follow the tarmac road, steeply in places, down past Brow Head Farm to join the ""under Loughrigg"" road running alongside the River Rothay which has its source at the Dunmail Raise above the village of Grasmere and it empties into the northern end of Lake Windermere. Rothay Bridge, a narrow humpback footbridge, is now on the left after passing a cattle grid, and the route continues over the bridge and back to Ambleside through Rothay Park.",True
2525,Standing Crag & Dock Tarn from Watendlath,Central Fells,,Cumbria,Mike Bexley,moderate,7.0,11.4,1600,485,5 hours 10 minutes,54.536771,-3.120455,CA12 5UW,"This Lake District walk from Watendlath includes some of the open fell that forms the backbone of the Lake District. It offers good views although it can be wet underfoot especially after heavy rain and should not be attempted without good boots, waterproof clothing, map and compass.

The walk starts from the lovely, peaceful National Trust Hamlet of Watendlath (grid ref NY276163) situated at the end of a single track lane, off the B5289 Keswick to Borrowdale road. At first proceed in an easterly direction from the car park climbing part way up the hill. take the first path on the right, keeping to the left hand side of the wall. The footpath begins well but can be extremely wet by the time you reach the remote Blea Tarn (grid ref 290143). Meaning 'Blue Tarn' this sizeable stretch of water is flanked to the south-west by the cliffs of Low Saddle.

Follow the wet footpath to the left of the tarn crossing the stile at the boundary fence. Turn right to follow the path that climbs steeply through a gully to the left of the imposing Standing Crag. This path (not indicated on all maps) swings right, after the gully near the top, to meet the boundary fence behind Standing Crag.

Pick up and follow the well-worn path with the fence on you right until you reach the corner of the fence - the fence turns sharp right here. To continue cross over the stile on you right to walk to High Saddle then pick your way along the feint paths over Coldbarrow Fell to Lord's How (grid ref 283139).

It is good idea on this long approach across the heather clad fell to take a compass bearing of Dock Tarn if visible. Go to the far left side of Dock Tarn where you will pick up the path that has come up from Stonethwaite . Continue on this path, which drops down to Watendlath Tarn. Then it is over the pack horse bridge to your start.",True
2932,Green Burn horseshoe from Grasmere,Central Fells,"Calf Crag, Gibson Knott, Helm Crag, Steel Fell",Cumbria,Lou Johnson,moderate,7.0,11.4,2300,697,5 hours 50 minutes,54.472899,-3.0261194,LA22 9RU,"This Lake District horseshoe walk links the high fells surrounding the valley containing Green Burn. Including four 'Wainwrights', Steel Fell, Calf Crag, Gibson Knott and Helm Crag, the views are generally good and, although there is some wet ground to contend with, the walking straightforward. In poor visibility navigation might be problematic on the section from Steel Fell to Calf Crag so choose a good day to enjoy the walk.

The start is alongside the A591 at Mill Bridge (Grid ref. NY336091) one mile north of Grasmere. Parking is available in two lay-bys although there are restrictions at certain times of the year so an early start is recommended. After parking, leave the main road and take the lane down towards Low Mill Bridge. At the junction (Grid ref. NY333091) turn right and continue along this quiet lane towards Ghyll Foot. Just after crossing Green Burn, bear left up a gravel drive and start to climb. After passing two cottages on your right, go through the gate and turn half right to leave the track and follow the path with the wall on your immediate right.

The climb is steady and the way ahead obvious. However at least two false summits have to be dealt with during the ascent, which offers improving views across Dunmail Raise to Seat Sandal and the Helvellyn range. Cresting the final section of ascent, a cairn comes into view constructed from stone and metal fence posts. From here you are able to get a good idea of the route ahead with almost all of the walk visible from this point.

To continue, walk northwest and then west following the line of the derelict fence. The path is generally easy to follow although in mist it is necessary to stay with the fence line. At a fence junction (Grid ref. NY313113) a short diversion north offers an excellent view north down to Wyth Burn. Passing an unnamed tarn (Grid ref. NY307110), continue across wet ground (mostly avoidable) with the path swinging west and then south to reach the main ridge path on Calf Crag (Grid ref. NY302104).

The route from Calf Crag stays with the ridge that ends at Helm Crag. The path twists and turns along the ridge to reach Gibson Knott before descending to a broad col just before helm Crag. It is worth making a note of the exit path descending northeast towards Green Burn. that will be used after visiting the summit of Helm Crag. With the final ascent to the summit of Helm Crag an easy proposition over the paved path you can soon explore the rocks and crags that give this fell so much character when viewed from the valley. The Grasmere end of the summit area is home to the Lion and the Lamb whilst the other end is home to Lion Couchant (looks like a massive howitzer from the summit).

With exploration of Helm Crag complete, return to the col on its northwestern flank and turn right (northeast) down the steep path towards Green Burn. Care is needed during this descent especially if the grass is wet or icy. With the wall on your left continue the descent to reach a wall junction (Grid ref. NY326096). Cross the wall ahead and continue north across the next field to gain the path on the south bank of Green Burn. Turn upstream to reach a footbridge. Cross the bridge and walk downstream along the track. This leads past the two cottages passed early in the walk and down to Ghyll Foot. Follow the lane towards Grasmere to reach a road junction. Turn left uphill to reach the start.",True
3328,Eagle Crag & Seargeant's Crag from Stonethwaite,Central Fells,"Eagle Crag, Seargeant's Crag",Cumbria,Lou Johnson,moderate,7.0,11.4,2100,636,5 hours 40 minutes,54.513207,-3.1414353,CA12 5XG,"This entertaining Lake District walk takes in two Wainwrights in an area that sees few walkers despite its proximity to Borrowdale. The village of Stonethwaite remains relatively unspoiled. Stonethwaite Beck which runs through the village is fed by Greenup Gill and Langstrath Beck and during the course of this walk you will get to see something of these two rivers and the valleys that contain them.

There is limited parking in Stonethwaite and when this walk was researched I found a space by the post-box and telephone box (Grid ref. NY262137) where I was able to park without obstructing normal village life. After parking cross Stonethwaite Beck and turn right upstream through pastures with a view ahead to Eagle Crag which forms the first objective of the day. After just under a mile you reach a footbridge (Grid ref. NY274129) near Smithymire Island. Cross this and turn left to walk upstream alongside Greenup Gill. Go through two walls and immediately after the second turn right and, with the wall on your right, follow the small path uphill.

Passing large boulders on your right the path goes through the wall on your right and continues climbing with crags on your immediate left to reach a gully. Turn left into this gully and after a short scramble you emerge onto a terrace where you turn right. Continue along this level section and bearing left carefully follow the feint path as it zigzags up through rocks to lead you without further problems to the summit cairn on Eagle Crag (Grid ref. NY275120). The view west and north is good and you can rest awhile trying to name the summits. To continue take the path heading south across roughish ground to the next objective namely Sergeant's Crag (grid ref. NY274113). This is clearly in view in normal visibility and the path easy to follow.

Having reached this second vantage point it is important to look at the terrain ahead. There are intermittent paths across the next section of route although you can easily get fooled by sheep trods. Ideally you need to cross the wall just south of Sergeant's Crag and follow a developing path that twists and turns to pass above Bull Crag (Grid ref. NY271108). Losing some height, but not too much, keep walking south towards Brown Crag (Grid ref. NY271102). Having reached this point, turn downhill following one of the small becks tumbling down the fellside. The going is quite steep but soon after starting the descent you will be able to see the footbridge across Langstrath Beck (Grid ref. NY264100). This bridge is the next objective and by making a beeline for the bridge some of the steepness of the descent is removed.

Cross the bridge over Langstrath Beck to gain its western bank. Turn north (right) and follow the clear path through the delightfully peaceful valley of Langstrath for about 2 miles. At a junction of tracks (Grid ref. NY272128) near Smithymire Island, bear left and follow this track back to Stonethwaite. Alternatively you can proceed further to the junction of Langstrath Beck and Greenup Gill and then turn left to follow Stonethwaite Beck for part of the way back to Stonethwaite, rejoining the previously mentioned track nearer the village.",True
1472,Alcock Tarn & Rydal Water from Grasmere,Central Fells,,Cumbria,Lou Johnson,easy/mod,7.0,11.4,1600,485,5 hours 10 minutes,54.455866,-3.0210657,LA22 9SL,"This Lake District circular walk starts from the village of Grasmere and begins by climbing onto the fells to visit Alcock Tarn. The route continues into the Rydal and returns via Rydal water and Grasmere. The views throughout are excellent so choose a fine day. There is one section of sustained ascent towards the beginning of the route although this is over a well-maintained path.

The start is the large pay and display car park (grid ref. NY339072) at the southern end of the village near the A591 Keswick to Ambleside road. Exit the car park and turn right to walk through the village following the B5287 to reach the A591 at the northern end of the village (grid ref. NY339082). Cross the main road and take the lane to the right of the Swan Hotel. Continue along this lane continuing straight ahead at the first junction. Turn right at grid ref. NY340083 and follow the signed footpath for Alcock Tarn. The path crosses a river and then starts a steep climb up the fellside. This is well maintained and offers improving views over Grasmere and the surrounding fells. Alcock Tarn is soon reached and provides an excellent place to take a break. From here the emphasis of the view changes with the panorama now including Windermere and other salient features in the southern Lake District.

Continuing, start the descent towards Rydal. Follow the clear path as it drops across the fellside passing a small lake. Eventually this leads down to a track (grid ref. NY344072). Turn left and follow the track to reach a lane (grid ref NY344067). Turn left and follow this track to follow an undulating course across the fellside all the way to Rydal. Reaching Rydal, turn right past the church down to the main road.

Cross the main road and turn left walking towards Ambleside. At the first road junction, turn right and cross the bridge. Once on the other side of the River Rothay turn right again along a tarmac lane. Continue past some cottages after which the lane becomes a rougher track and exits onto open fellside. The path forks (grid ref. NY358060). Bear right here to join the lower path which initially follows the shore of Rydal Water. At the next junction (grid ref. NY347059) bear slightly right to descend to a footbridge (grid ref. NY343059). Cross the bridge and bear left on the other side now following the shore of Grasmere, which is on your left. This path leads to the A591 road. Turn left along the road and follow the pavement alongside Grasmere. Walk past the hotel and take the next left. This leads back to the start.",True
2779,Ullscarf & Birk Crag from Wythburn (Steel End),Central Fells,Ullscarf,Cumbria,Lou Johnson,moderate,7.3,11.9,2000,606,5 hours 40 minutes,54.5077300,-3.0517036,CA12 4TP,"The main objective of this walk is Ullscarf using an approach from Wythburn on the southern shore of Thirlmere. The route follows Wyth Burn upstream to bypass Middle How to reach Greenup Edge. Turning north a direct approach to Ullscarf offers a variety of views across central Lakeland and beyond. The return route descends via Standing Crag before turning east through woodland past Harrop Tarn. A brief diversion to the summit of Birk Crag provides a superb view over Thirlmere before a final descent back to the start.

The walk starts from Steel End car park at Wythburn (grid ref. NY320130). This is reached by following the A591 north from Grasmere over Dunmail Raise to take the unsigned minor road on the left which leads to the parking area. Exit the car park and turn left. Take the first signed footpath on the right. The path runs parallel to Wyth Burn which is on your left. Initially the valley is quite broad with the path gaining little height. As the valley narrows you reach a footbridge (grid ref. NY314119). Cross the bridge and bear right and continue following the burn which is now on your right.

The path steepens and soon passes beneath Black Crag. The path then runs level beside 'the Bog' before the gradient begins again as you follow the path across Flour Gill and around the right of Middle How. The gradient eases briefly before a final pull onto Greenup Edge (grid ref. NY286106). Turn right and follow the line of old fence posts passing a pair of terns as you gain height. The path climbs easily and leads to the cairned summit of Ullscarf. For many walkers this maybe unfamiliar territory but the view especially down to Stonethwaite is worth the effort of gaining some height.

To start the descent, walk north keeping left of a small tarn. Reaching a fence junction (grid ref. NY281126), fork right heading northeast. The path soon swings north down towards Standing Crag. Here the path avoids the crags by looping to the right. Continue north through a gate to reach a path junction above Blea Tarn on your left (grid ref. NY297139).

Turn right and descend to woodland. Pass through a gate and continue through trees. Fork right along a track following the Harrop Tarn sign. Keep Harrop Tarn on your right and cross Dob Gill at the tarn's outflow. Fork right and follow the path with Birk Crag rising on your left. A short diversion to the summit offers a superb view of Thirlmere. Reaching the point where three walls converge (grid ref. NY315134), ignore the gate, and continue slightly left with a wall on your right. After 130 metres cross the wall and continue beside the wall down to Westy Head where you turn right and drop don to Stenkin and the road. Bear right along the road the parking area is a short way along on your left.",True
